tweet,location,Airline,Class
الولد تمرمط رجعوا شناطه خلوه يستانس,,Fly Nas,Negative
فيه ناس مهمين جاو لعلا وضاعت شناطهم وبعدين معكم,,Fly Nas,Negative
كانت تجربه سيءه ومريره ومزعجه فوق ما يتصور اي احد منكم ان اسافر علي ولهذا لن تكر هذه التجربه ولن تعاد يوما او…,"جدة, المملكة العربية السعودية",Fly Nas,Negative
دخلنا علي الرابط غير مذكور تامين الاطفال واذا وصلنا المطار بيطلبون التامين,,Fly Nas,Negative
لاتخاف راح يعوضونك ب ريال قسيمه شراءيه لاراقيب ولاحسيب عليهم,,Fly Nas,Negative
وانانفس الشي لن اكر التجربه مهما كان,"الرياض, المملكة العربية السعودية",Fly Nas,Negative
"السلام عليكم 
 

فضلا حل الاشكاليه تم استقطاع المبلغ ولم يتم ارسال التذكره",traveler,Fly Nas,Negative
شركه محتاله تاكل حقوق الناس لنا معهم وقفه بين ايدي اله بسب عموله اكلوها لي في اتمام موضوع نقل حجاج من عام ٢٠١٣ وعند اله تجتمع الخصوم,"جدة, المملكة العربية السعودية",Fly Nas,Negative
السلام عليكمتم التواصل معكم عن طريق الايميل وتم رفع طلب زياده وزن اضافي من يوم الخميس مساء ورحلتي لم يتبقي عليها سوي ساعات قليله ولم يتم اتاحه الدفع لي متي سيتم النظر فالطلبغير معقول خدمه العملاء ان تكون بهذه الطريقه,"الرياض, المملكة العربية السعود",Fly Nas,Negative
يفتقرون الي المهنيه في التعامل مع الضيوف,,Fly Nas,Negative
ليه فيه احد يرد يافضل طيران بالعالم,,Fly Nas,Negative
اله يستر رحلتي اليله من جده وصلتني رساله انها بتاخر,,Fly Nas,Negative
ابليكشن فاشل طيران فاشل كلش فاشل اله خدمه عملاء زفت اله ياخذكم من طيران كله,,Fly Nas,Negative
"اله يرحم والديك يافضل طيران بالشرق الاوسط 
من امس احاول اقص البوردينق",,Fly Nas,Negative
ماقدر اقص البوردينق,,Fly Nas,Negative
السري واقف عشان رحله م تبرمجت رحله باكو ٦٣٠,,Fly Nas,Negative
امس سري لرحله باكو واوصل يقول مابعد تبرمجت الرحله استهبال مطار الرياض صاله رقم ٢,,Fly Nas,Negative
ليش خليتو رحلت العوده غير مباشره احتاج تفاصيل زياده,جدة. ,Fly Nas,Negative
ولو احب اسافر فيها,المملكة العربية السعودية,Fly Nas,Positive
"انا مثلك 
سافرت معهم مره من سنوات ولن اكرها
ليس هناك احترام لراكب ولا حسن تصرف
قدمت شكوي في موظف ولم يتم حتي الرد علي
رغم تكراري رفع الشكوي",الرياض,Fly Nas,Negative
علما بان المبلغ تم خصمه من حسابي و اتصل المكتب علي خدمه العملاء لخطوط ناس وافادو يجب ارسال ايميل وتم ذالك والي الان لم يتصل علي احد من خطوط ناس ولم يتم ارجاع المبلغ علما كانت الرحله من الدمام الي جده ٦ تذاكر والمكتب كان وكاله الشافعي لسفريات بسيهات,,Fly Nas,Negative
من يوم اكتوبر لحد الان عندي طلب ولم يتواصل معي احد,,Fly Nas,Negative
كانت تجربه سيءه ومريره ومزعجه فوق ما يتصور اي احد منكم ان اسافر علي ولهذا لن تكر هذه التجربه ولن تعاد يوما او لحظه ما سامحني اله علي هذا الوضع الذي اخترته بنفسي دون عقل او تفكير,,Fly Nas,Negative
السلام عليكم مستحيل شركه كبيره شركه طيران خدمه عملاء لا يتم الرد ماذا اقول,,Fly Nas,Negative
"مكن تبرلونا ليش ريحه الطياره والرحله سيءه جدا جدا جدا
وليش تاخير الرحله ساعات بدون مبر
طيران سيء جدا جدا جدا جدا",syria,Fly Nas,Negative
لاسف خدمه العملاء لم يستطيعوا المساعده مع اكثر من اتصال منذ اغسطس,,Fly Nas,Negative
عيا يقص معي البوردنق من الموقع,ما خاب ظني فيها للحين واثق ❤,Fly Nas,Positive
الحجز رقم عيال بالمطار وموعد الساعه ١٥٩ والي حد الان ما وصلت الطياره المطار وش السالفه,DAMMAM OF KSA,Fly Nas,Negative
اسوا كراسي جربتها,شوكة في حلق كل نجسطيني,Fly Nas,Negative
ما تعاملتو داخل المطار مع المشكله علشان خدمه العملاء تحلها … هل يعلق شنط لي ما توصل,,Fly Nas,Negative
الشنطه حقتنا ماوصلت من مطار اسطنبول لرياض ٥٠٪من الناس ماجت الشنط حقتهم يقولون ان الوزن كان زايد وتركوها في مطار صبيحه ليش ادفع فلوس وفي الاخر تركوها في المطار ليش,,Fly Nas,Negative
من يوم الاحد تاريخ ١٦ اكتوبر والي اليوم لا نتيجه ولا تواصل,جدة,Fly Nas,Negative
يتم التواصل معاك ولكن سلبيه,جدة,Fly Nas,Negative
اسوا خدمه عملاء في حياتي كلها,جدة,Fly Nas,Negative
بس موظفه سيءه ولا تحترم العميل علمو موظفتكم ان تحترم الاشخاص واقل شي توفره خدمات الركاب اما شغل الانفعال الغير مبر تجلس في بيتها افضل,Azerbaijan,Fly Nas,Negative
ولا اي كلمه مكن توصف كميه المشاعر الجميله مشاعر كلها صدق وفاء واخلاص وفخر لشخصيه نادره مثل كابتن جمال اله يعطيه الصحه والعافيه وطوله العمر يارب,"Stuttgart, Germany",Fly Nas,Positive
تواصلت وسجله لكم كل الي طلبتوه ولا جاء رد ولا حل,,Fly Nas,Negative
انا حاجزه تذاكر ذهاب و عوده ب٤٣٦ ريال وبعدل تواريخ حجزي لشهر ديسمبر تزيدون عالفلوس الي دفعتها ٣٠ ريال زياده ليش طيب التعديل الي ابيه انو تكون الرحله بعد شهر ونص من الان المفروض ما تكون التذاكر اغلي بالسعر هذا ازيد عال٤٣٦ الي دفعتها ٣٠ ريال زياده ليش,"San Diego, CA",Fly Nas,Negative
جميل جميل جدا مارايت,الامارات العربية المتحدة ,Fly Nas,Positive
مالكم دخل بالاشياء هذي افشل خدمات مابعد البيع بالشركات,"Riyadh  ♥ , Alexandria ♥",Fly Nas,Negative
حجزت رحله وتم دفع المبلغ لكن لم يتم حجز الرحله تواصلت معكم عن الطريق الواتس وكل ماستفسرت عن شي قلتم نتظر القسم ونتظر القسم لم يتم تاكيد الرحله ولم ايتم ارجاع المبلغ مع اني تواصل معكم من قبل يومين,الحجاز العظيم,Fly Nas,Negative
"اذا قالوا نتواصل معك ه
ه
ه
ه
ه
ه
ه
ه
ه
ه
ه
ه
ه
ه
ه
ه
ه
ه
ه
ه
ه",,Fly Nas,Negative
ارسلتهم في تويتر والواتس واتصلت عليهم ورفعو لي طلب بس مدري اتاكد رحلتي بكره,,Fly Nas,Nutral
الطيران ناس كل سنه يتطور موظفينه وخدماته هذا يدل علي جوده الموارد البشريه لديهم,,Fly Nas,Positive
وش صار معك هي تاكدت الرحله ولا رجعو لك المبلغ لان انا نفس الشيء خذو المبلغ ولا ارسلو لي اي رساله,,Fly Nas,Negative
"لكم تقديري وحبي واحترامي 
انتم لوفاء عنوان",Riyadh,Fly Nas,Positive
افضل طيران,"جدة, المملكة العربية السعودية",Fly Nas,Positive
سود اله وجيهكم علي ايش هذي الاسعار,Kingdom of Saudi Arabia,Fly Nas,Negative
افضل شركه,الخرطوم,Fly Nas,Positive
بصراحه كذابين ولا تزعلون انا من امس ادور حجز ما لقيت اسعار نار والان انا بالرياض ابغي حجز لمدينه سعركم نار واخذت اديل ارخص ويعتبر مع خدمات اديل غالي بعد اقسم باله العضيم اضريت احجز ب ريال ذهاب فقط,,Fly Nas,Negative
"قبل ما اعطيكم يتعوضون بمبلغ ولا كلام فاضي وتسويف

لاني عدلت مره اخذتوا مني مبلغ ٢٥٧ ريال تقريبا
والان ما راح امشيها لكم 
٣ مسافرين تدفعون “رسوم التعطيل “ الي هي رسوم التعديل وفرق التذكره",,Fly Nas,Negative
وجع يوجعكم انشاله,,Fly Nas,Negative
فوق التاجيل تاخير زياده نايس,,Fly Nas,Negative
هيا باله في احد يتصل الساعه ١٢ اليل يقولك وله العذر و السموحه تاجلت الرحله,,Fly Nas,Negative
انا عندي شكوي اليوم سافرت من الرياض لعمان الطياره اول اشي تاخرت وبعدها بالطياره طلبت بطانيه حكولي البطانيه مش مجانيه وما بنقدر نعطيك بدك تشتري حكيت طيب ماشي ضغطت الزر لحتي يرجعو الموظفين ولا حدا اجي وطولو لاجو وبالاخر ما في حتي اشتري بطانيه كنت بدي ياها اغطي بنتي,,Fly Nas,Negative
١٥٢٥ ريال بالظبط صرفتها من ورا تاجيلكم و تاخيركم الزفت,,Fly Nas,Negative
"انا اقول زي ما سويتوا اعاده جدوله لرحلتي رقم ٤٢ من جيزان لجده 
ادفعوا لي رسوم التعطيل",,Fly Nas,Negative
بس ماشي انا اعرف كيف بترجعون حقي,,Fly Nas,Negative
حتي خطاب تاخير رحله ما عطيتوني,,Fly Nas,Negative
و رقم خدمه العملاء محد يرد من الساعه ٩ الصباح لين ٤ العصر و انا ادق و ادق و ادق و محد يرد,,Fly Nas,Negative
و كل ما اروح ل اي موظف يحولني لثاني و الوضع تسليك في تسليك و علقتوني من ١٠ اليل لين ٩ الصباح بمطار الرياض ترانزيت,,Fly Nas,Negative
اسوء طيران و اسوء موظفين بالكون ١٤٨٠ ريال ضاعت من وراكم و لا عوضتوني لا برحله و لا بسكن,,Fly Nas,Negative
دفعت مبلغ تذكره مرتين اثر خل في الابل باي بالموقع كيف اتواصل معكم واسترداد المبلغ,Dammam,Fly Nas,Negative
"لما اجي اعدل ع الرحله تاخذون علي رسوم 
واليوم بكل وقاحه تجون تعدلون ع كيفكم
سلامات",,Fly Nas,Negative
تاخير رحلات ناس مزعج لغايه وان كان السعر نوعا ما لكن تخسر الكثير من امورك,المملكة العربية السعودية,Fly Nas,Negative
تاخر رحله المدينه الرياض من غير اعتذار او مبر,المملكة العربية السعودية,Fly Nas,Negative
اتمني لهذا الكبتن حياه سعيده بعد تقاعده من عمله اما هذه الشركه ليس لها تقدير عندي مره قبل ٤ سنو…,,Fly Nas,Negative
ياكبرها عند اله ياكابتن …ناس لوفاء عنوان,Saudi Arabia,Fly Nas,Negative
لاسف يا دحسن حتي خدمه العملاء يبي لهم خدمه عملاء لان بعضهم يجونك من شركات مشغله تساله ويوقلك ها انتظر ومطمط وقتك وهو مخليك في الانتظار لان التدريب من الجهات الرسميه لهم ضعيف حتي هم غير عالمين بحل المشكله نفسها,,Fly Nas,Negative
حقيقه كلمه واحده وان كانت لا توفيكم كل الكلمات راءعون,"Makkah Al Mukarrama, Kingdom o",Fly Nas,Positive
"مسلسل فشل فاق عد حلقاته المسلسلات المكسيكيه ولا حسيب ولا رقيب 
اعجب من حصولهم علي جواءز افضل طيران اقتصادي في الشرق الاوسط 
يبدو انه لا يوجد لهم منافس في فءه الجاءزه اردا خدمه",Riyadh,Fly Nas,Negative
ناس اسافر فيه متازين وداءما لافضل ماشفت منهم الا كل خير وخدمه وتعامل ومصداقيه من تجربه,,Fly Nas,Positive
امخبر اله يعينك بعد تصبر وش تسوي لا يستحون ولا يقدرون,,Fly Nas,Negative
لا اوافقك الراي لم اجد اي تاخير في مواعيدهم لي و لقريبين مني واسعارهم جيده مقارنه مع منافسيهم,السعودية,Fly Nas,Positive
صح لسانك ايه الشاعر المفوه لعل الشعر يحق هدفه وتعدل ناس اخطاءها,,Fly Nas,Negative
طلعت من الرياض الي دبي تركت في الطاءره ايباد برو حاولت الاتصال لا يوجد رد هل فيه رقم في الامارات مكن نتواصل معكم,Riyadh,Fly Nas,Negative
اسواء تجربه رحله معكم فوق التاخير الي حصل لرحله والتغير كل يوم عدم اهتمام فالشنط جتني مكسوره وتم التبليغ فالمطار ولين اليوم مافي اي نتيجه,,Fly Nas,Negative
صارت لي الحركه ذي قبل فتره خسرونا تذاكر ورجعنا نحجز فندق ليوم الثاني ونحجز علي اديل لان ماعاد وثقت فيهم وفاتني يوم دوام واطالبهم بقيمه التذكره الي الان ولا حياه لمن تنادي,,Fly Nas,Negative
جميع الشركات عندما تنتقد تحاول تحسين سمعتها باصلاح مشاكلها الا ناس تزيد سوء فريق العلاقات العامه عندهم فيه خل مايشوف كل هذا النقد,أصفى سماء و أطهر ثرى 🕊,Fly Nas,Negative
يا رجال عين خير تاخذ طيران ناسا وتقول ليه تاخر,,Fly Nas,Negative
مافيه ام خبر وانا اخوك اطلب اله ولو فيه نظام يحمي المسافر صدق ماكان شفنا مثل هالمهازل تصير ولكن الشكوي علي اله مكاتبهم فاضيه ورحلاتهم تلغي وتاخر وعند طلب المدير او من ينوب عنه يقولون ماهو موجود هل يعقل هذا الكلام شي عجيب نتمني من الجهات المختصه النظر في وضعهم السيء,,Fly Nas,Negative
يعني الحين تبونه هو يتواصل معاكم وش هالبجاحه بدال ماتواصلو معاه وتعتذرون له,Kingdom of Saudi Arabia,Fly Nas,Negative
عندك موعد ضروري لا تطلع ناس,National,Fly Nas,Negative
انت الاف فقط ان ريال وما اقول اله يعوضنا خير وعند اله ما يضيع شي,"جدة, المملكة العربية السعودية*",Fly Nas,Negative
حسبي اله ونعم الوكيل اكلوا عليه فوق ٣٠ريال وعند اله تجتمع الخصوم,"جدة, المملكة العربية السعودية*",Fly Nas,Negative
تخيل اخوي حجز عاي وطلب السداد وبعدها لم يسد والمفترض يلغي الحجز وبعدها حجز مره اخري علي نفس الرحله ودفع المبلغ ولما راح المطار وجد ان لديه حجزين باسم شخص واحد ونفس الوقت يعني الحجز الاول لم يلغي كيف قبل النظام حجزين في نفس الساعه واليوم … فوضي,,Fly Nas,Negative
ما هو ذنبهم في طيران ثاني مضيق عليهم وخانقهم وجالس يطيرهم من السوق لانهم افضل منه في كل شيء …,,Fly Nas,Positive
الناس تشكي من ناس و غير مكترثه بالمواطن وحقوقه هل من ينصف المواطن…,نجران,Fly Nas,Negative
ليتهم يقدرون عملاءهم نص تقدير عامليهم,riyadh,Fly Nas,Negative
هذا عرض ولا عقوبه,Kingdom of Saudi Arabia,Fly Nas,Negative
"واله ما في احد بيصدق معاك في المواعيد غير الكدادين 
صحيح الناقل الوطني عنده…",المملكة العربية السعودية,Fly Nas,Negative
ارسلكم وتس من امس ماتردون والحين ادق عليكم ماتردون ليش مافي تعاون,,Fly Nas,Negative
غريبه ماتاخرت الرحله,المملكة العربية السعودية,Fly Nas,Negative
لاسف التطور عندنا في كل المجالات الا مجال الطيرانتاجيل الغاء غلاء اسعار التذاكر وهيءه الطيران اذن من طين واذن من عجين,الشرقي,Fly Nas,Negative
واله غسلكم غسل بارك اله فيه وانتم عدم احترامكم لناس وظروفها علامه استفهام كبيره…,12 Aug 💔,Fly Nas,Negative
لم اسمع في حياتي ان رحله طيران ناس مت اي مكان سواء في الملكه او في دبي قد اقلعت في موعدها حتي في الظروف العاديه غير المناسبات فهي اسواء ما قد يهطر علي بالك,قريب من اهلي,Fly Nas,Negative
مافيه احد ير,المملكة العربية السعودية,Fly Nas,Negative
اله يعينك ويسر امرك عوايدهم داءما ناس والخطوط السعوديه واديل,"مكة المكرمة, المملكة العربية ا",Fly Nas,Negative
من الواضح هذه عاده عندهم لان حصل معي نفس هذا التاخير سابقا,"جدة, المملكة العربية السعودية",Fly Nas,Negative
اسوا شركات طيران عندنا هي ثلاثه فقط ومع ذلك اسعار مرتفعه وفوضي بالمواعيد وتاخير والغاء,المملكة العربية السعودية,Fly Nas,Negative
"طيب اخوي حسين مكن تساعدنا علي اي خطوط نحجز اذا نزلونا من الطاءره والغو رحلتنا بسب انتهاء ساعات دوام الكابتنبعد تاجيل وبهذله 
اذا هذه الشركه الام و الاقوي و تبجح بنجومها شوف الشكاوي و التاخير",المملكة العربية السعودية,Fly Nas,Negative
دءما رحلات جيزان فيها تاخير من و الي,jezzan,Fly Nas,Negative
لو كل واحد قدم شكوي من الضر الذي وقع عليه بسب التاخير او سوء التنظيم لرحلات او الخدمه المقدمه من الناقل لكان تغير الوضع لافضل الا انا نصبر ونلعب بهواتفنا حتي تاتي الرحله الموعوده,"الرياض, المملكة العربية السعود",Fly Nas,Negative
ه صح لسانك والحمد له علي السلامه وان شاء اله نشوف تطوير بخدماتهم ونفتك من سوالف التاخير,"Dhahran, Kingdom of Saudi Arabia",Fly Nas,Negative
اله يعظم اجركم سبق ومرينا بنفس موقفكم لكن لاسف لو وجد من يحاسبهم ويضع عليهم عقوبات صارمه وايقاف رحلاتها لما كان مسلسل التاخير وضياع حقوق الناس وقتهم … لكن مانقول الا اله المستعان وحسبي اله ونعم الوكيل,الرياض,Fly Nas,Negative
"لعل في الامر خيره تجهلها

اما هذه الشركات
فامنت العقوبه وتمد اهمالها",حيث أجد الصفاء,Fly Nas,Negative
اعتدنا علي تاخير الرحلات من والي جيزان و نفس الشء مع ابها وش توقعون السب,,Fly Nas,Negative
اقعد يوم كامل عشان تردون مايصير,,Fly Nas,Negative
ياليت تحترم الناس,,Fly Nas,Negative
هذا شي غير مستغرب من الطيران في بلدنا اصبح التاخير بالنسبه لهم عادي جدا تقدم شكوي ماتقدم ماهتمو فيك ولابالرضع ولاكبار السن ولاحتياجات خاصه المفترض مثل بلدنا وتعتبر شبه قاره بمساحتها اقل شي ١٠ مشغلين لطيران ومانسمع الا بالسعوديه وناس واديل وتنافس علي التاخير والتاجيل,,Fly Nas,Negative
"قدر يترتب عنه دفع مبالغ كبيره وايضا تاخير 
هذا لاول مره تحصل معي علي الطيران الدولي والداخلي 
هل من جواب",Saudi Arabia,Fly Nas,Negative
"ماقامت به 
من وزن حقيبه اليد الشخصيه اثار استغرابي وهذا لشنط الصغيره والحجم الستاندرد 
الجميع الحذر من وزن الشنطه بالذات السعودين علي الرحلات الدوليه هذا حصل لي اليله علي رحله",Saudi Arabia,Fly Nas,Negative
شركه وطنيه تستحق التقدير لاهتماها بموظفيها واهتماها بتوطين الشركه بابناء الوطن الغالي لذلك مستقبلها واعد باذن اله,"Jeddah, Kingdom of Saudi Arabia",Fly Nas,Positive
واله نفس الشي صار معنا يوم الاثنين صباح الثلاثاء الرحاله كانت الساعه ١ مساء وتاجلت الي الساعه ٤٠ صباحا خمسه ساعات تاخرنا في المطار ولا حيات لمن تنادي,,Fly Nas,Negative
اليوم فعليا تاكدت مافي زي الخطوط السعوديه بعد الطعه ف الطياره ساعه شكرا غير الباص غير وغير نقول الحمدله وصلت وانا لسا ماسكه اعصابي,Jeddah,Fly Nas,Negative
"انا من المدينه وكل ماسافرت الرياض وابي ارجع لازم تاخر الرحله وانطق بمطار الرياض ليه تيبس عظامي 
مطار الرياض اخس مطار بالسعوديه كلها فاشل فاشل فاشل",أم الدندن ,Fly Nas,Negative
الي يشوف كل هالشكاوي وبرضوا صامل يحجز علي ناس ما اعتقد وراه حاجه ضروريه وقاعد يجرب حظه,,Fly Nas,Negative
مطنشيني ليش,,Fly Nas,Negative
ياجماعه ردوا علي,,Fly Nas,Negative
بريال ماركب معهم,,Fly Nas,Negative
واله لقد شفيت مافي نفسي علي هذا الطيران المستهتر بالناس,,Fly Nas,Negative
لا تصدقهم كلام جرايد,الرياض,Fly Nas,Negative
انا تبت ماعد اركب مع هذي الخطوط تجربه معهم مرتين لن اعيدها لو اروح كعابي لديره,المملكة العربية السعودية,Fly Nas,Negative
مبدعين كعادتكم ياناس,Kingdom of Saudi Arabia,Fly Nas,Positive
خاصه جيزان يتمنذلون فيه,المملكة العربية السعودية,Fly Nas,Negative
فوق كذا طياراتهم كانك راكب دسن,,Fly Nas,Negative
ناس خدمه سيءه ولانصح بها اخر همها رضاء العميل,,Fly Nas,Negative
السلام عليكم لقد قمت بحجز رحله من جده لابها عبر خطوط ناس عن طريق موقع رحلات لكن لاسف لم استلم التاكيد حتي الان,"ابها, المملكة العربية السعودية",Fly Nas,Negative
تم تاجيل رحلتي لابها من ١٥ الشهر ٥٤٥ العصر ومافي احد يرد علينا علي الرقم لتغير الرحله ارجو التواصل معي لضروره,Saudi Arabia,Fly Nas,Negative
مبدع مافيك حيله,"جدة, المملكة العربية السعودية",Fly Nas,Positive
السلام عليكم حجزت عن طريق التطبيق وبعد ما دفعت وتاكد الحجز تفاجات بان الوجه معكوسه ولا يوجد خيار لالغاء الرحله وحاولت اتصل عليكم ولا يوجد لديكم رقم لخدمه خارج ساعات الدوام الرسميه,"Dammam, Kingdom of Saudi Arabia",Fly Nas,Negative
المحافظه علي ولاء الجمهور الداخلي من الاعمال الجيده التي تهتم فيها اداره العلاقات العامه,تحت رحمة الله,Fly Nas,Positive
الناس تشكي من ناس و غير مكترثه بالمواطن وحقوقه هل من ينصف المواطن ويحفظ حقه,,Fly Nas,Negative
يجون يمشون الف بس ليتهم يتعتذرون اعتذار له قيمه,,Fly Nas,Negative
لنته مشيته سياره كان قد وصلته الرياض وفلوسك موفر منها النص ورحتلهم عادها مقد نفرن ناس واديل قد دبغو الناس يدبعلهن بلا ماء,🇸🇦,Fly Nas,Negative
السلام عليكم يوجد لدينا حجز من القاهره الي الرياض ومن الرياض جده وصلت رساله بالغاء رحله الرياض جده ارجو ضروري التواصل معايا احجز رحله بديله من الرياض جده في موعد الساعه ٥٣٠ وانا حاليا بمطار القاهره وتم ختم الجواز,,Fly Nas,Negative
ماهو شي جديد عادي جدا رحلات جازان متعودين,"جدة, المملكة العربية السعودية",Fly Nas,Negative
كنت ناوي احجز علي طيران ناس بس دام كذا نغير طيران ثاني,.......,Fly Nas,Negative
"قبل يومين رايح من الرياض الي جده وتاخرت ٥ ساعات غريب الي يحصل في ناس 

كانت مضرب لمثل بدقه المواعيد",Riyadh-Jeddah,Fly Nas,Negative
انت موعود بتاخير الرحلات,بين بقعتين مباركتين.,Fly Nas,Negative
الطيران عندنا عكس الرءيه غالي وخدمات وتوقيت سيء,,Fly Nas,Negative
وفي الاخير يجيبون لك سن توب ابونص وفطيره لوزين وسيعين وجه,riyadh,Fly Nas,Negative
ابو طبيع ما يجوز من طبعه,,Fly Nas,Negative
وعادك ماريت شي,الجنوب . جازان . أبها ,Fly Nas,Negative
ارسلنا اكثر من ايميل ولم يتم الرد وفي النهايه قالت الموظفه صعد الشكوي الي هيءه الطيران …لاسف مافيه حل الا اني اجي الرياض لاداره الرءيسيه وان شاء اله جاي بعد اسبوعين,,Fly Nas,Negative
اسوء شركه طيران لاسف,,Fly Nas,Negative
من الي يترك ويروح ل ياخي السعوديه ما عمرها خذلتني,,Fly Nas,Negative
طيب ورحله باكو الرياض الي الغيتوها بدون سابق انذار يوم ١٨ اكتوبر,,Fly Nas,Negative
لاسف داءما تاخير واحيانا لساعات بدون ابلاغ ارتفاع اسعارها ويبيعوا الوزين ب١٠ حلوها,,Fly Nas,Negative
يقال من امن العقوبه اساء الادب,Germany,Fly Nas,Negative
لاسف خدمه العملاء سيءه وماعندهم صلاحيات لتصعيد المشكلهفانا لي اكثر من شهرين رافع شكوي ونفس الموظفه ترد بخصوص تعويض علي الغاء الرحلات ولم يتم التجاوب معي الي الان ماطله بالطلب تحت الاجراء ولم يتم التعويض الي الان فالرد علي المكالمات ياخذ اكثر من نصف ساعه واحيانا يفصل بدون رد,,Fly Nas,Negative
بعض الطيران لا تحرك من البيت حتي يدقون عليك,المملكة العربية السعودية KSA,Fly Nas,Negative
الخبر نفس الخبر لاسف طيران الغريب اذا اقلعت الرحله في وقتها,"جدة, المملكة العربية السعودية",Fly Nas,Negative
سافر بر او ع النقل الجماعي,,Fly Nas,Negative
اله يكون بالعون حصل معانا يوم الخميس نفس الشي ورحله دوليه,Makkah,Fly Nas,Negative
عادتهم مهو شي غريب,,Fly Nas,Negative
"امخبر سوي دعاء
طيران ناس واديل المفروض تلغي شركاتها الناس تضرت كثير منهم واله",,Fly Nas,Negative
المءمن لا يلدغ مرتين لكن هذي الثانيه لك,,Fly Nas,Negative
طيران سيء نرجوا التطور,,Fly Nas,Negative
نحتاج اكثر من شركه طيران ويكون التنافس بينهم علي تقديم افضل الخدمات وعلي جميع مناطق الملكه اعانكم اله لاسف الشركه حتي شي من الاخلاق معدوم لديهم,"الرياض, المملكة العربية السعودية",Fly Nas,Negative
المشكله الخطوط السعوديه تذاكرها غاليه اديل و ناس معقوله بس المواعيد احيانا لك عليها,,Fly Nas,Negative
"تستاهل ليش تحجز ع طيران ناس 
المفروض تحجز مع اقرب كداد كان امداك وصلت",المملكة العربية السعودية,Fly Nas,Negative
وش سالفتكم تلغون الرحلات ولا تعدلونها من عندكم الا ندفع فرق السعر وش دخلنا في المبلغ الاضافي والالغاء من عندكم رحله تاريخ بكره ٢٠,المملكة العربية السعودية,Fly Nas,Negative
انسي تم الغاء رحلتنا وعوضونا ريال قسيمه شراءيه لمده سنه مع الاعتذار ماقصرو,,Fly Nas,Positive
طيران ناس كانت بدايتها قويه ومواعيدها متازه الفتره الاخيره من سنه او سنتين مواعيدهم مضروبه لاسف,,Fly Nas,Negative
من امن العقوبه اساء الادب,المملكة العربية السعودية,Fly Nas,Negative
واله تركت خطوطهم لهم من سوء التعامل والتاخير وتكسير الشنط اروح خط افضل واريح من يروح علي موعد بسبهم,,Fly Nas,Negative
الي يحجز علي ناس يتحمل خطاه,"جدة, المملكة العربية السعودية",Fly Nas,Negative
ويتبجحون باعذار واهيه وينصبون انفسهم في القمه ولكن في الحقيقه القاع مكانهم,المملكة العربية السعودية,Fly Nas,Negative
واله صادق حقوق المسافر مهضمومه وابسط مثال تاخير الرحلات مافيه اي تعويض لمسافر وانت لو تاخر عن موعد الرحله ٥ دقايق راح عليك كل شي تفاوت بين هذا وذاك,,Fly Nas,Negative
ناس تخليك منحاس,جده,Fly Nas,Negative
رفعت شكوي ضدهم,,Fly Nas,Negative
طيران ناس واله من رمضان اطالبهم تعويض رحله ويدقون ويكذبون عشان يتقفل بلاغ هيءه طيران المدني ولا يعطون تعويض,,Fly Nas,Negative
ابا محمد امخبر نفس امبخبر وام موعد شكله زحلطن ولكن لكي تسري عن نفسك اهجهم بعض الابيات ولربما يكون في هذا التاخير خيره وما ادراك,"جدة, المملكة العربية السعودية",Fly Nas,Negative
احمد ربك ما الغوها انا دفعت وتم الغاء الرحله والان من يوم ويرجع واله اني في امس الحاجه لها لكن اله المعوض ويقولوا ادعموا شركات الطيران الداخلي تقدر تسترد من ابلاغ المشرف انك تضرت من التاخير,المملكة العربية السعودية,Fly Nas,Negative
"ناقلنا الجوي لايواكب التطور الذي تعيشه الملكه 
هذا القطاع بحاجه الي غربله وتنظيف من اعلي الدرج",,Fly Nas,Negative
اين حقوق المسافرين تعمدت عده خطوط بتاخير الرحلات لان لايوجد ردع لها ولاحساب ولا رقيب والمسافر اذا…,,Fly Nas,Negative
"ماشي خبر 
سبق وتاخرت علي من جيزان لجده
 رحله دوليه وتبهذلت وعفشي سافر قبلي
ودعفشه كلمه جيزانيهتعني تلخبطه اموري 
المهم بعد شد وجذب معهم 
اعطوني الزبده تعويض مافي

شليت نفسي وتعشيت البيك واقرب كرسي ريحت عليه حتي ثاني يوم الساعه ١٢ ظهرا رحلتي المءجله",المملكة العربية السعودية,Fly Nas,Negative
تعويضهم فطيره جبن وعصير مراعي اعرفهم,"الرياض, المملكة العربية السعودية",Fly Nas,Negative
اين حقوق المسافرين تعمدت عده خطوط بتاخير الرحلات لان لايوجد ردع لها ولاحساب ولا رقيب والمسافر اذا تاخر دقاءق يقولون له اغلقت البوابه,,Fly Nas,Negative
تصنف باسوء اداره واسوء موظفين واسوء طيران في العالم سيء جدا ثاني مره تصير مع موظفين عنصرين عشان حامل الجواز اليمني يتعمد ياخرني وانا مسوي شك ان عشان تروح الطياره لاسف,,Fly Nas,Negative
حاولو ترقو شويه وتوضفو ناس كويسه نوصل في الوقت ونسوي شك ان وموظف مستهتر يمنعني اركب الطياره بلا سباب,,Fly Nas,Negative
الغو علي الحجز وادق ما يردون ليش,,Fly Nas,Negative
هذي رحله ١٠٧ من الظهر وهم كل شوي يقولون نص ساعه,,Fly Nas,Negative
رحلتكم متاخر الي من الرياض لجيزان من الصباح حتي الحين العصر وباقي اله اعلم حتي متي كذا,,Fly Nas,Negative
